time,n,rpl_dio_mean,rpl_dio_std,rpl_dis_mean,rpl_dis_std,rpl_dao_mean,rpl_dao_std,rpl_total_mean,rpl_total_std,adhoc_tx_mean,adhoc_tx_std,adhoc_rx_mean,adhoc_rx_std,conv_count_mean,conv_count_std,first_conv_mean,first_conv_std,last_conv_mean,last_conv_std,avg_conv_mean,avg_conv_std,avg_va_mean,avg_va_std,max_va_mean,max_va_std,perfect_pct_mean,perfect_pct_std,avg_eta_sc_mean,avg_eta_sc_std,min_eta_sc_mean,min_eta_sc_std,max_eta_sc_mean,max_eta_sc_std,udp_pdr_mean,udp_pdr_std,udp_latency_mean,udp_latency_std,udp_buf_drop_mean,udp_buf_drop_std,energest_cpu_mean,energest_cpu_std,energest_lpm_mean,energest_lpm_std,energest_tx_mean,energest_tx_std,energest_rx_mean,energest_rx_std,energest_total_mean,energest_total_std,power_cpu_mean,power_cpu_std,power_lpm_mean,power_lpm_std,power_tx_mean,power_tx_std,power_rx_mean,power_rx_std,power_total_mean,power_total_std
1200.4,1,304.0,0.0,30.0,0.0,57.0,0.0,391.0,0.0,1051.0,0.0,4183.0,0.0,11.0,0.0,83.54,0.0,187.97,0.0,108.34,0.0,0.44,0.0,3.0,0.0,77.3,0.0,100.0,0.0,100.0,0.0,100.0,0.0,43.66,0.0,535.52,0.0,315.0,0.0,55953635.0,0.0,354957723.0,0.0,1087418.0,0.0,26324924.0,0.0,410911358.0,0.0,0.7762,0.0,0.1412,0.0,0.1588,0.0,3.4018,0.0,4.478,0.0
1500.3,3,416.6666666666667,191.84976761344626,42.666666666666664,11.930353445448853,92.0,32.96968304366907,551.3333333333334,235.33876292131166,1313.0,4.58257569495584,6571.666666666667,824.7086354181902,11.0,0.0,60.586666666666666,21.44125074088108,119.54666666666667,18.211252931452393,81.50333333333333,6.70667080848116,0.5066666666666667,0.037859388972001855,2.3333333333333335,0.5773502691896257,65.13333333333334,6.568358496103373,100.0,0.0,100.0,0.0,100.0,0.0,60.85666666666666,5.170080592537543,639.56,90.54322282755349,203.66666666666666,140.30443091126287,75460515.66666667,610767.8912535706,439930318.0,3473460.5947307074,1598188.0,80483.28451920932,37717000.333333336,6682348.431481056,517740436.0,1132644.9369934958,0.8307666666666668,0.00582866479850514,0.13893333333333333,0.0014224392195567874,0.1852,0.009279547402756234,3.8689999999999998,0.6912205364426031,5.023933333333333,0.6794005764888146
1500.4,2,412.5,71.4177848998413,38.0,9.899494936611665,89.0,45.254833995939045,539.5,126.572113832392,1311.5,2.1213203435596424,5627.5,540.9366876077089,11.0,0.0,71.265,17.359471478129745,173.255,20.8101525703201,108.94,0.848528137423859,0.355,0.14849242404917498,2.5,2.1213203435596424,71.4,5.798275605729692,100.0,0.0,100.0,0.0,100.0,0.0,48.18,5.557859300126263,481.565,36.91804504574967,353.5,40.30508652763321,72192363.5,1259654.8692481206,442966641.5,6756331.048025437,1459546.0,68012.35864164689,32644611.5,3428420.663611818,517081058.0,2778482.758577422,0.79585,0.018172644276494232,0.14005,0.0013435028842544298,0.1694,0.008768124086713186,3.3533,0.37009968927303905,4.458600000000001,0.3956969547519924
1800.3,2,313.0,72.12489168102785,37.5,4.949747468305833,75.5,6.363961030678928,426.0,70.71067811865476,1576.5,6.363961030678928,8681.0,321.02647865869255,11.0,0.0,71.805,12.819845942912108,128.59,13.138043994446052,84.965,4.2497117549311545,0.33999999999999997,0.1979898987322333,2.5,0.7071067811865476,76.35,6.434671708797588,100.0,0.0,100.0,0.0,100.0,0.0,63.629999999999995,2.432447327281722,613.25,113.2360799392138,132.5,88.38834764831844,91992746.5,638600.1549048512,530515123.5,4245738.521927663,2024687.5,36312.05453427278,38297609.0,2160717.504980232,625220251.5,2771945.5563853523,0.8387,0.002121320343559566,0.13875,0.0017677669529663704,0.1943,0.004384062043356582,3.25305,0.19791918805411438,4.4247499999999995,0.20187898602875923
1800.4,3,501.0,132.92102918650608,46.333333333333336,12.583057392117917,103.33333333333333,38.65660788705255,650.6666666666666,179.09308566589982,1571.6666666666667,1.1547005383792515,7098.333333333333,529.0693086291562,11.0,0.0,60.22666666666667,22.72025601381581,149.32333333333332,43.98528428160188,97.48666666666668,19.84682678246912,0.41333333333333333,0.6379916404885986,2.0,1.0,77.26666666666667,33.10503486379879,100.0,0.0,100.0,0.0,100.0,0.0,52.81,6.940338608454202,529.4966666666667,102.87267000196572,380.3333333333333,62.17984668148783,88489450.0,2312935.623437669,535444585.0,5264842.128701582,1824898.3333333333,89181.24989219054,40990037.666666664,7887288.289870565,624560043.6666666,2270650.6202138043,0.8076666666666666,0.023759278889169472,0.14016666666666666,0.0009504384952922232,0.17536666666666667,0.009174057626444975,3.4862,0.680030197858889,4.609366666666666,0.7099707904789697
2100.3,2,317.5,75.66042558696059,39.5,3.5355339059327378,79.5,6.363961030678928,436.5,72.8319984622144,1838.0,2.8284271247461903,10210.5,181.7264427649427,11.0,0.0,71.805,12.819845942912108,128.59,13.138043994446052,84.965,4.2497117549311545,0.245,0.2899137802864845,1.5,0.7071067811865476,80.0,23.193102422918763,100.0,0.0,100.0,0.0,100.0,0.0,64.08,2.6162950903902327,612.98,122.25876246715406,135.0,87.68124086713189,108353568.0,846060.3347575159,622244115.5,4511875.129589969,2412396.0,28308.312878022243,42575565.0,2168202.9373658733,733354190.0,2775671.3020154242,0.8422000000000001,0.0033941125496954466,0.1387,0.00155563491861041,0.19735000000000003,0.0030405591591021533,3.0831,0.16871567799111017,4.2614,0.16984704884100854
2100.4,3,558.0,81.43095234614415,50.0,10.0,116.66666666666667,24.90649179096352,724.6666666666666,107.77909506640577,1834.0,1.0,8601.666666666666,688.0038759580743,11.0,0.0,60.22666666666667,22.72025601381581,149.32333333333332,43.98528428160188,97.48666666666668,19.84682678246912,0.31,0.3004995840263344,1.6666666666666667,1.1547005383792515,77.86666666666666,15.113349507416725,100.0,0.0,100.0,0.0,100.0,0.0,55.23333333333333,6.026087730305071,536.0433333333334,86.08390345083879,396.6666666666667,85.93214377247511,105202213.66666667,1657256.2849171318,626174968.6666666,4003516.5888109333,2204019.3333333335,94609.76836634436,45202468.333333336,8000463.9101932915,733352429.6666666,1964101.688516237,0.8177,0.015006998367428477,0.13963333333333333,0.0008082903768654832,0.18033333333333335,0.008122397018942941,3.2740333333333336,0.588228665854813,4.4117,0.6095268000670683
2400.3,2,319.5,72.8319984622144,41.5,3.5355339059327378,82.0,2.8284271247461903,443.0,73.53910524340094,2102.0,5.656854249492381,11855.0,152.73506473629428,11.0,0.0,71.805,12.819845942912108,128.59,13.138043994446052,84.965,4.2497117549311545,0.25,0.22627416997969518,1.0,0.0,75.0,22.485995641732213,100.0,0.0,100.0,0.0,100.0,0.0,65.07499999999999,3.3728993462598287,615.505,111.60266327467275,138.0,87.68124086713189,124652814.0,932929.8170398457,714111123.0,4646862.521225262,2793164.5,28352.860605236998,46880304.5,2157745.5351789054,839554397.0,52856.23189369443,0.8463,0.006363961030678934,0.13905,0.0009192388155425087,0.1996,0.0019798989873223505,2.9650499999999997,0.1362594767346476,4.1501,0.13279465350683375
2400.4,3,567.6666666666666,77.36493607140986,51.333333333333336,10.016652800877813,118.33333333333333,26.501572280401277,737.3333333333334,105.2916584223714,2095.3333333333335,2.8867513459481287,10195.333333333334,756.0432086417636,11.0,0.0,60.22666666666667,22.72025601381581,149.32333333333332,43.98528428160188,97.48666666666668,19.84682678246912,0.33666666666666667,0.18903262505010435,1.3333333333333333,0.5773502691896257,69.36666666666667,13.511970001940258,100.0,0.0,100.0,0.0,100.0,0.0,56.85333333333333,5.458024673206719,543.5666666666667,69.83083082230466,409.0,104.50358845513392,121530223.66666667,1748024.6686787156,717322681.6666666,4146118.4596164557,2581693.3333333335,109855.82681102233,49459165.666666664,8073349.505407922,842140056.6666666,3002949.5259764744,0.8226,0.014211614968046392,0.13926666666666668,0.00030550504633038595,0.1839666666666667,0.008386497083606075,3.1192333333333333,0.5143998865992617,4.265066666666667,0.5339657323586726
2700.3,2,320.0,73.53910524340094,43.0,4.242640687119285,84.0,4.242640687119285,447.0,73.53910524340094,2363.0,5.656854249492381,13423.5,116.67261889578035,11.0,0.0,71.805,12.819845942912108,128.59,13.138043994446052,84.965,4.2497117549311545,0.5700000000000001,0.11313708498984762,2.5,0.7071067811865476,61.35,1.9091883092036803,100.0,0.0,100.0,0.0,100.0,0.0,65.265,2.736503243191942,613.8,108.17319538591805,140.0,87.68124086713189,140946759.0,1075754.0731310293,805953932.5,4786115.180964673,3176394.5,26152.34430218446,51212440.5,2099627.0146196205,946708111.5,1340943.8648133262,0.8486,0.005232590180780425,0.1392,0.0009899494936611557,0.20129999999999998,0.001979898987322331,2.87255,0.12183449839844207,4.0617,0.11950104602052687
